q_A,s_A,energy_Eh,scf_converged,orbital_gradient_norm_Eh,internal_stable,lowest_internal_stability_eigenvalue_Eh,restricted_stability_corrections,accepted,failure
0.0,1.3962485791325798,-148.76499662127242,True,9.54461580607946e-13,True,1.4509711612968204,0,True,
0.1,1.49624857913258,-148.75421207047788,True,1.6837967592246587e-14,True,1.15966307817953,0,True,
0.2,1.5962485791325798,-148.72816687171854,True,1.6511018233260654e-14,True,0.930155713202404,0,True,
0.3,1.6962485791325799,-148.69414658885165,True,1.3274694763065105e-14,True,0.7478558531169982,0,True,
0.5,1.8962485791325798,-148.62013293191038,True,1.966599898785425e-14,True,0.4859238687286869,0,True,
0.75,2.14624857913258,-148.53756939236723,True,1.447086524942383e-14,True,0.2837928411829369,0,True,
1.0,2.39624857913258,-148.47441432329893,True,2.4657620582033808e-14,True,0.16266490892893928,0,True,
1.5,2.89624857913258,-148.40156486231774,True,1.6342441478437688e-14,True,0.04920503828544859,0,True,
2.0,3.39624857913258,-148.37143610809719,True,9.990052163718564e-15,True,0.01522576718832602,0,True,
3.0,4.39624857913258,-148.34850201819194,True,8.688850982116191e-15,True,0.0035182720249798743,0,True,
4.0,5.39624857913258,-148.3367111398094,True,5.924804218762032e-15,True,0.0018042387793984402,0,True,
5.0,6.39624857913258,-148.32877601554577,True,1.0851659298702715e-14,True,0.001066580810956827,0,True,
11.39624857913258,12.79249715826516,-148.30774580272006,True,8.859858610963659e-14,True,0.00012731445643417765,0,True,
24.188745737397742,25.58499431653032,-148.2973618239699,True,2.4258483413541925e-14,True,1.5539514689698218e-05,0,True,
49.77374005392806,51.16998863306064,-148.2921857882825,True,5.018023143922258e-12,True,1.9198718584777188e-06,0,True,
100.9437286869887,102.33997726612128,-148.28959974468287,True,3.760892308083863e-15,True,2.3861290909411876e-07,0,True,
203.28370595310997,204.67995453224256,-148.288306968653,True,4.301107798847111e-15,True,2.9742326164335136e-08,0,True,
407.96366048535253,409.3599090644851,-148.28766061130332,True,1.5449488722362698e-12,True,3.71247711210984e-09,0,True,
817.3235695498377,818.7198181289702,-148.2873374364587,True,1.0480426667838607e-12,True,4.627233937282158e-10,0,True,
1636.043387678808,1637.4396362579405,-148.28717584951497,True,2.5528923015241875e-13,True,5.785121491382148e-11,0,True,
3273.4830239367484,3274.879272515881,-148.2870950561027,True,6.654847298872246e-14,True,7.229350536852235e-12,0,True,
6548.362296452629,6549.758545031762,-148.287054659404,True,6.88371519411371e-15,True,9.124280662971385e-13,0,True,
13098.120841484391,13099.517090063524,-148.28703446105555,True,5.792897252130639e-15,True,1.3445807328511438e-13,0,True,
26197.637931547917,26199.034180127048,-148.28702436188212,True,4.402068830206088e-12,True,1.437519470415431e-14,0,True,
52396.67211167496,52398.068360254096,-148.28701931229529,True,1.1010737779442046e-12,True,-5.713189495888673e-15,0,True,
104794.74047192906,104796.13672050819,-148.28701678750187,True,2.740679634460424e-13,True,-9.693286478504395e-17,0,True,
209590.87719243724,209592.27344101638,-148.2870155251015,True,6.87888409189096e-14,True,-1.557249625047738e-14,0,True,
419183.1506334536,419184.54688203277,-148.28701489390755,True,1.729869202263932e-14,True,-1.2092497785590003e-14,0,True,
838367.6975154864,838369.0937640655,-148.28701457830826,True,5.013179572366288e-15,True,-5.9182438973571714e-15,0,True,
1676736.791279552,1676738.187528131,-148.28701442050556,True,6.156121531696757e-15,True,1.5694347628490842e-14,0,True,
3353474.978807683,3353476.375056262,-148.28701434160945,True,4.04043897329121e-15,True,-1.4922209299528278e-14,0,True,
