q_A,s_A,energy_Eh,scf_converged,orbital_gradient_norm_Eh,internal_stable,lowest_internal_stability_eigenvalue_Eh,restricted_stability_corrections,accepted,failure
0.0,1.133851007494,-107.50065426275155,True,7.081125603282486e-13,True,0.9388061991737852,0,True,
0.1,1.2338510074940001,-107.47316536587796,True,9.978194909939148e-13,True,0.557821809775813,0,True,
0.2,1.333851007494,-107.40980384424836,True,2.84561764678216e-13,True,0.23327757643045635,0,True,
0.3,1.433851007494,-107.3299997293538,True,1.2310749215931387e-13,True,1.0042516228755086e-12,1,True,
0.5,1.633851007494,-107.20898206508451,True,4.8970105882957545e-14,True,3.4468701696394443e-15,1,True,
0.75,1.883851007494,-107.1070702569675,True,1.5305606564536842e-14,True,1.426371891478418e-14,0,True,
1.0,2.133851007494,-107.02579249393767,True,5.087370300852278e-15,True,3.295239673409472e-15,0,True,
1.5,2.633851007494,-106.90828121631571,True,4.771374648063952e-14,True,8.288753989632844e-15,0,True,
2.0,3.133851007494,-106.84194019727818,True,2.640051511328563e-15,True,4.080055868245663e-15,0,True,
3.0,4.133851007494,-106.79511567442343,True,3.7078808982015985e-12,True,4.7823615725753835e-15,0,True,
4.0,5.133851007494,-106.7802005829375,True,2.7853224444710053e-15,True,-2.684168069009973e-15,0,True,
5.0,6.133851007494,-106.77135512809676,True,4.4003104127571854e-15,True,2.4768645430151314e-15,0,True,
11.133851007494,12.267702014988,-106.74930328504269,True,2.1900576471423616e-15,True,-3.0175316325773447e-16,0,True,
23.401553022482,24.535404029976,-106.73846190267604,True,2.8012633362113826e-15,True,-2.248936844229093e-15,0,True,
47.936957052458,49.070808059952,-106.73306288276774,True,1.8605563533004188e-15,True,-8.737449828368281e-15,0,True,
97.00776511241,98.141616119904,-106.7303660211499,True,3.713465892512317e-13,True,5.201048425467471e-15,0,True,
195.149381232314,196.283232239808,-106.7290179183729,True,1.0271773365914722e-14,True,-8.103728425582813e-16,0,True,
391.432613472122,392.566464479616,-106.72834390782401,True,2.7677229607777142e-14,True,4.548761836938538e-16,0,True,
783.9990779517381,785.132928959232,-106.72800690764494,True,1.5176169239956153e-13,True,-1.9054428409442503e-15,0,True,
1569.13200691097,1570.265857918464,-106.72783840819172,True,1.6168127396923973e-15,True,1.0891836447660785e-15,0,True,
3139.397864829434,3140.531715836928,-106.72775415854474,True,9.536897495174908e-16,True,-3.6788305091811657e-16,0,True,
6279.929580666362,6281.063431673856,-106.72771203373115,True,8.59060150786057e-16,True,-9.60897909308725e-15,0,True,
12560.993012340217,12562.126863347712,-106.72769097132556,True,1.2502727514443615e-15,True,-2.809558943990082e-15,0,True,
25123.11987568793,25124.253726695424,-106.72768044012297,True,1.0727384408034738e-15,True,-1.4695948035895204e-14,0,True,
50247.373602383355,50248.50745339085,-106.72767517452162,True,2.3617279684928767e-15,True,-1.0841358499618464e-14,0,True,
100495.8810557742,100497.0149067817,-106.72767254172095,True,8.841997670272428e-16,True,-1.392152841767759e-14,0,True,
200992.8959625559,200994.0298135634,-106.72767122532063,True,1.5435730379539135e-15,True,-8.556155134858807e-15,0,True,
401986.9257761193,401988.0596271268,-106.72767056712048,True,3.895702237844609e-12,True,-1.4167515137274169e-14,0,True,
803974.9854032461,803976.1192542536,-106.72767023802044,True,4.870709400370351e-12,True,-1.788549020038671e-14,0,True,
1607951.1046574996,1607952.2385085071,-106.72767007347052,True,5.1132614674928064e-12,True,-3.132674033728346e-14,0,True,
3215903.3431660067,3215904.4770170143,-106.7276699911953,True,5.17519190117445e-12,True,-5.767426631928855e-16,0,True,
