molecule,view,geometry_id,column_index,eigenvalue
LiH,Run1_exact,001,0,-9.304761282249547e-17
LiH,Run1_exact,001,1,6.140617626051334e-19
LiH,Run1_exact,001,2,8.704761780552117e-17
LiH,Run1_exact,001,3,0.02477415965048326
LiH,Run1_exact,001,4,2.0000000000000013
LiH,Run1_exact,002,0,-1.5644721038772392e-16
LiH,Run1_exact,002,1,-5.005413034466713e-19
LiH,Run1_exact,002,2,6.829850609181497e-17
LiH,Run1_exact,002,3,0.02488526733997596
LiH,Run1_exact,002,4,1.9999999999999998
LiH,Run1_exact,003,0,-1.7764885550183692e-16
LiH,Run1_exact,003,1,-2.3912356489108776e-19
LiH,Run1_exact,003,2,1.8721019080748015e-16
LiH,Run1_exact,003,3,0.025016183550695244
LiH,Run1_exact,003,4,2.0000000000000018
LiH,Run1_exact,004,0,-2.1652116946184325e-19
LiH,Run1_exact,004,1,1.2885298340567845e-16
LiH,Run1_exact,004,2,2.1267709755277432e-16
LiH,Run1_exact,004,3,0.02516426752575295
LiH,Run1_exact,004,4,1.999999999999996
LiH,Run1_exact,005,0,-1.3250463100911958e-16
LiH,Run1_exact,005,1,-4.7662727929990244e-20
LiH,Run1_exact,005,2,1.4324371728860271e-16
LiH,Run1_exact,005,3,0.025327094620456507
LiH,Run1_exact,005,4,1.999999999999997
LiH,Run1_exact,006,0,-7.680426017540016e-17
LiH,Run1_exact,006,1,2.16001295502943e-20
LiH,Run1_exact,006,2,1.5356884867445953e-16
LiH,Run1_exact,006,3,0.02550244296376723
LiH,Run1_exact,006,4,2.000000000000003
LiH,Run1_exact,007,0,-1.8870298000291225e-16
LiH,Run1_exact,007,1,-1.2467330755764006e-17
LiH,Run1_exact,007,2,-9.964302535108816e-20
LiH,Run1_exact,007,3,0.02568828087209604
LiH,Run1_exact,007,4,1.9999999999999982
LiH,Run1_exact,008,0,6.37305550972344e-19
LiH,Run1_exact,008,1,1.1473432739334949e-17
LiH,Run1_exact,008,2,1.175954488131593e-16
LiH,Run1_exact,008,3,0.025882754913093064
LiH,Run1_exact,008,4,1.9999999999999982
LiH,Run1_exact,009,0,-8.675227331911928e-17
LiH,Run1_exact,009,1,2.294751246142947e-19
LiH,Run1_exact,009,2,1.1610149955911765e-16
LiH,Run1_exact,009,3,0.02608417854559278
LiH,Run1_exact,009,4,1.999999999999999
LiH,Run1_exact,010,0,-5.3066686587695703e-17
LiH,Run1_exact,010,1,-1.2251555108638187e-19
LiH,Run1_exact,010,2,1.4923706601263095e-17
LiH,Run1_exact,010,3,0.02629102126964618
LiH,Run1_exact,010,4,1.999999999999997
LiH,Run1_exact,011,0,-1.5310303428326917e-16
LiH,Run1_exact,011,1,-3.820355210055847e-19
LiH,Run1_exact,011,2,1.57184076516961e-16
LiH,Run1_exact,011,3,0.02650189824503509
LiH,Run1_exact,011,4,1.9999999999999987
