molecule,geometry_id,split,scan_coordinate_A,column_index,raw_eigenvalue,E_corr_Ha
LiH,001,train,-0.2480388808631253,3,0.02477415965048326,-0.016760909170351113
LiH,002,test,-0.23093275114842693,3,0.02488526733997596,-0.0168421382136561
LiH,003,train,-0.21382662143372877,3,0.025016183550695244,-0.01693316094159858
LiH,004,test,-0.1967204917190304,3,0.02516426752575295,-0.017034046628787713
LiH,005,train,-0.179614362004332,3,0.025327094620456507,-0.017144859366290177
LiH,006,test,-0.16250823228963385,3,0.02550244296376723,-0.01726565903107602
LiH,007,train,-0.14540210257493547,3,0.02568828087209604,-0.01739650216837596
LiH,008,test,-0.1282959728602373,3,0.025882754913093064,-0.01753744279201097
LiH,009,train,-0.11118984314553892,3,0.02608417854559278,-0.01768853310823726
LiH,010,test,-0.09408371343084054,3,0.02629102126964618,-0.01784982416838421
LiH,011,train,-0.07697758371614238,3,0.02650189824503509,-0.018021366455531762
LiH,012,test,-0.059871454001444,3,0.026715560346295814,-0.018203210410614012
LiH,013,train,-0.04276532428674584,3,0.02693088463412942,-0.01839540690273278
LiH,014,test,-0.02565919457204746,3,0.02714686523154713,-0.0185980076486576
LiH,015,train,-0.00855306485734908,3,0.02736260459998431,-0.01881106558588641
LiH,016,test,0.00855306485734908,3,0.02757730521172516,-0.019034635203619032
LiH,017,train,0.02565919457204746,3,0.02779026162224028,-0.019268772835419057
LiH,018,test,0.04276532428674584,3,0.02800085294179469,-0.019513536917396657
LiH,019,train,0.059871454001444,3,0.028208535708450486,-0.01976898821501294
LiH,020,test,0.07697758371614238,3,0.028412837162376456,-0.020035190021748583
LiH,021,train,0.09408371343084077,3,0.028613348919741585,-0.020312208332242676
LiH,022,test,0.11118984314553892,3,0.028809721042660965,-0.02060011199241618
LiH,023,train,0.1282959728602373,3,0.029001656499078887,-0.020898972828783613
LiH,024,test,0.1454021025749357,3,0.02918890600458753,-0.02120886575885539
LiH,025,train,0.16250823228963385,3,0.029371263235943985,-0.02152986888445252
LiH,026,test,0.179614362004332,3,0.02954856040415436,-0.021862063569150436
LiH,027,train,0.1967204917190304,3,0.0297206641733487,-0.02220553450139917
LiH,028,test,0.21382662143372877,3,0.029887471910410395,-0.022560369744045516
LiH,029,train,0.23093275114842693,3,0.03004890824912891,-0.022926660771213747
LiH,030,test,0.2480388808631253,3,0.03020492195201857,-0.023304502493089352
BeH2,001,train,-0.1419308970542672,3,0.00982694662093019,-0.028451786866716233
BeH2,002,test,-0.13214255932638674,3,0.010204172049327206,-0.028707669738397
BeH2,003,train,-0.12235422159850629,3,0.010576546034458234,-0.028972773742687252
BeH2,004,test,-0.1125658838706256,3,0.010943722842010395,-0.02924705919897086
BeH2,005,train,-0.10277754614274515,3,0.011305392528216496,-0.02953049402274388
BeH2,006,test,-0.09298920841486469,3,0.01166127903984937,-0.02982305346968417
BeH2,007,train,-0.08320087068698423,3,0.012011138357997015,-0.030124719885824547
BeH2,008,test,-0.07341253295910377,3,0.01235475668681274,-0.030435482464023167
BeH2,009,train,-0.06362419523122331,3,0.012691948688699162,-0.030755337006658223
BeH2,010,test,-0.05383585750334263,3,0.013022555767470356,-0.031084285694470637
BeH2,011,train,-0.044047519775462174,3,0.013346444401115765,-0.03142233686185314
BeH2,012,test,-0.034259182047581715,3,0.013663504525782466,-0.031769504778282
BeH2,013,train,-0.024470844319701257,3,0.013973647972432834,-0.03212580943612764
BeH2,014,test,-0.014682506591820799,3,0.014276806957559396,-0.03249127634488502
BeH2,015,train,-0.00489416886394034,3,0.014572932629099021,-0.032865936331491596
BeH2,016,test,0.00489416886394034,3,0.014861993668514553,-0.0332498253472
BeH2,017,train,0.014682506591820799,3,0.015143974949763495,-0.03364298428055257
BeH2,018,test,0.024470844319701257,3,0.015418876255587577,-0.034045458776603255
BeH2,019,train,0.034259182047581715,3,0.015686711051435778,-0.03445729906227868
BeH2,020,test,0.044047519775462174,3,0.01594750531689245,-0.03487855977787113
BeH2,021,train,0.05383585750334263,3,0.01620129643445493,-0.035309299814473505
BeH2,022,test,0.06362419523122331,3,0.01644813213507601,-0.03574958215727975
BeH2,023,train,0.07341253295910377,3,0.01668806949987589,-0.036199473734754406
BeH2,024,test,0.08320087068698423,3,0.016921174017009877,-0.036659045273378155
BeH2,025,train,0.09298920841486469,3,0.017147518692627983,-0.0371283711579693
BeH2,026,test,0.10277754614274515,3,0.01736718321484143,-0.0376075292974285
BeH2,027,train,0.11256588387062583,3,0.01758025316895373,-0.03809660099577883
BeH2,028,test,0.12235422159850629,3,0.017786819302857193,-0.03859567082825244
BeH2,029,train,0.13214255932638674,3,0.017986976840666413,-0.03910482652252867
BeH2,030,test,0.1419308970542672,3,0.01818082484297734,-0.039624158844596025
H2O,001,train,-0.11272722400113389,1,0.004017510702164939,-0.04075672158936072
H2O,002,test,-0.10495293269071082,1,0.004007930058450856,-0.04159205096327412
H2O,003,train,-0.09717864138028787,1,0.0039962772431309905,-0.04244241313955399
H2O,004,test,-0.0894043500698648,1,0.003982629784319958,-0.04330804802714283
H2O,005,train,-0.08163005875944174,1,0.003967064815973926,-0.04418919342730021
H2O,006,test,-0.07385576744901878,1,0.003949658966969527,-0.04508608481907572
H2O,007,train,-0.06608147613859572,1,0.003930488256872033,-0.04599895514380137
H2O,008,test,-0.05830718482817265,1,0.003909627998215592,-0.04692803458931394
