molecule,geometry_id,q_A,record,error
BeH2,001,-0.1419308970542672,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/001.npz,
BeH2,002,-0.13214255932638674,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/002.npz,
BeH2,003,-0.12235422159850629,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/003.npz,
BeH2,004,-0.1125658838706256,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/004.npz,
BeH2,005,-0.10277754614274515,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/005.npz,
BeH2,006,-0.09298920841486469,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/006.npz,
BeH2,007,-0.08320087068698423,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/007.npz,
BeH2,008,-0.07341253295910377,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/008.npz,
BeH2,009,-0.06362419523122331,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/009.npz,
BeH2,010,-0.05383585750334263,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/010.npz,
BeH2,011,-0.044047519775462174,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/011.npz,
BeH2,012,-0.034259182047581715,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/012.npz,
BeH2,013,-0.024470844319701257,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/013.npz,
BeH2,014,-0.014682506591820799,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/014.npz,
BeH2,015,-0.00489416886394034,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/015.npz,
BeH2,016,0.00489416886394034,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/016.npz,
BeH2,017,0.014682506591820799,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/017.npz,
BeH2,018,0.024470844319701257,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/018.npz,
BeH2,019,0.034259182047581715,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/019.npz,
BeH2,020,0.044047519775462174,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/020.npz,
BeH2,021,0.05383585750334263,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/021.npz,
BeH2,022,0.06362419523122331,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/022.npz,
BeH2,023,0.07341253295910377,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/023.npz,
BeH2,024,0.08320087068698423,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/024.npz,
BeH2,025,0.09298920841486469,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/025.npz,
BeH2,026,0.10277754614274515,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/026.npz,
BeH2,027,0.11256588387062583,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/027.npz,
BeH2,028,0.12235422159850629,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/028.npz,
BeH2,029,0.13214255932638674,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/029.npz,
BeH2,030,0.1419308970542672,/Users/novaz/Desktop/qml2.0/results/descriptor-v2-methods-t/BeH2/030.npz,
